Id,Ó˘ÎÄ
Id,en
cardName_1,Basic Attack112
cardDesc_1,Deal 1 damage.
cardName_2,Basic Attack
cardDesc_2,Deal 2 damage.
cardLevelUpDesc_2,Deal 2 damage.
cardName_3,Basic Attack
cardDesc_3,Deal 3 damage.
cardLevelUpDesc_3,Deal 3 damage.
cardDescEx_3,Image/Reward/baozang
cardName_4,Basic Attack
cardDesc_4,Deal 4 damage.
cardLevelUpDesc_4,Deal 4 damage.
cardName_5,Crush
cardDesc_5,Deal 10 damage.
cardName_6,Dual Destinies
cardDesc_6,Deal 10 damage to the enemy and 4 piercing damage to yourself.
cardName_7,Fires of Rage
cardDesc_7,Deal 2 damage + 1 for every 5 health you've lost.
cardDescEx_7,Deal {0} damage (+ 1 for every 5 health you've lost).
cardName_8,Fires of Rage
cardDesc_8,Deal 4 damage + 1 for every 5 health you've lost.
cardLevelUpDesc_8,Deal <color=#8adf6a>4</color> damage + 1 for every 5 health you've lost.
cardDescEx_8,Deal {0} damage (+ 1 for every 5 health you've lost).
cardName_9,Fires of Rage
cardDesc_9,Deal 6 damage + 1 for every 5 health you've lost.
cardLevelUpDesc_9,Deal <color=#8adf6a>6</color> damage + 1 for every 5 health you've lost.
cardDescEx_9,Deal {0} damage (+ 1 for every 5 health you've lost).
cardName_10,Burning Strike
cardDesc_10,Deal 6 fire damage.
cardName_11,Soul Strike
cardDesc_11,"Deal?2 damage. If this card kills the enemy, you permanently gain 2 health."
cardName_12,Soul Strike
cardDesc_12,"Deal?4 damage. If this card kills the enemy, you permanently gain 2 health."
cardLevelUpDesc_12,"Deal?<color=#8adf6a>4</color> damage. If this card kills the enemy, you permanently gain 2 health."
cardName_13,Soul Strike
cardDesc_13,"Deal 6 damage. If this card kills the enemy, you permanently gain 2 health."
cardLevelUpDesc_13,"Deal <color=#8adf6a>6</color> damage. If this card kills the enemy, you permanently gain 2 health."
cardName_14,Binding Strike
cardDesc_14,"<color=#e6c14f>Exiled</color>,deal 2 damage. Next turn enemy can't use cards with different types."
cardName_15,Binding Strike
cardDesc_15,"<color=#e6c14f>Exiled</color>,deal 4 damage. Next turn enemy can't use cards with different types."
cardName_16,Binding Strike
cardDesc_16,"<color=#e6c14f>Exiled</color>,deal 6 damage. Next turn enemy can't use cards with different types."
cardName_17,Storm Strike
cardDesc_17,Deal 2 lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardName_18,Storm Strike
cardDesc_18,Deal 4 lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardLevelUpDesc_18,Deal <color=#8adf6a>4</color> lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardName_19,Storm Strike
cardDesc_19,Deal 6 lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardLevelUpDesc_19,Deal <color=#8adf6a>6</color> lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardName_20,Lightning Strike
cardDesc_20,Deal 2 lightning damage. Repeats 3 times.
cardName_21,Piercing Attack
cardDesc_21,Deal 1 piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardName_22,Piercing Attack
cardDesc_22,Deal 3 piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardLevelUpDesc_22,Deal <color=#8adf6a>3</color> piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardName_23,Piercing Attack
cardDesc_23,Deal 5 piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardLevelUpDesc_23,Deal <color=#8adf6a>5</color> piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
